jwl0001,SENIN,3,VIIA,bio0005
jwl0002,SENIN,4,VIIA,bio0005
jwl0003,SENIN,5,VIIA,bio0031
jwl0004,SENIN,6,VIIA,bio0031
jwl0005,SENIN,7,VIIA,bio0035
jwl0006,SENIN,8,VIIA,bio0035
jwl0007,SELASA,1,VIIA,bio0010
jwl0008,SELASA,2,VIIA,bio0010
jwl0009,SELASA,3,VIIA,bio0010
jwl0010,SELASA,4,VIIA,bio0048
jwl0011,SELASA,5,VIIA,bio0048
jwl0012,SELASA,6,VIIA,bio0048
jwl0013,SELASA,7,VIIA,bio0006
jwl0014,SELASA,8,VIIA,bio0006
jwl0015,RABU,1,VIIA,bio0037
jwl0016,RABU,2,VIIA,bio0037
jwl0017,RABU,3,VIIA,bio0037
jwl0018,RABU,4,VIIA,bio0008
jwl0019,RABU,5,VIIA,bio0017
jwl0020,RABU,6,VIIA,bio0017
jwl0021,RABU,7,VIIA,bio0005
jwl0022,RABU,8,VIIA,bio0005
jwl0023,KAMIS,1,VIIA,bio0005
jwl0024,KAMIS,2,VIIA,bio0005
jwl0025,KAMIS,3,VIIA,bio0023
jwl0026,KAMIS,4,VIIA,bio0023
jwl0027,KAMIS,5,VIIA,bio0023
jwl0028,KAMIS,6,VIIA,bio0011
jwl0029,KAMIS,7,VIIA,bio0011
jwl0030,KAMIS,8,VIIA,bio0011
jwl0031,JUM'AT,1,VIIA,-
jwl0032,JUM'AT,2,VIIA,bio0017
jwl0033,JUM'AT,3,VIIA,bio0017
jwl0034,JUM'AT,4,VIIA,bio0006
jwl0035,JUM'AT,5,VIIA,bio0006
jwl0036,SABTU,1,VIIA,bio0010
jwl0037,SABTU,2,VIIA,bio0010
jwl0038,SABTU,3,VIIA,bio0038
jwl0039,SABTU,4,VIIA,bio0038
jwl0040,SABTU,5,VIIA,bio0038
jwl0041,SABTU,6,VIIA,bio0011
jwl0042,SABTU,7,VIIA,bio0011
jwl0043,SENIN,3,VIIB,bio0031
jwl0044,SENIN,4,VIIB,bio0031
jwl0045,SENIN,5,VIIB,bio0006
jwl0046,SENIN,6,VIIB,bio0006
jwl0047,SENIN,7,VIIB,bio0005
jwl0048,SENIN,8,VIIB,bio0005
jwl0049,SELASA,1,VIIB,bio0011
jwl0050,SELASA,2,VIIB,bio0011
jwl0051,SELASA,3,VIIB,bio0032
jwl0052,SELASA,4,VIIB,bio0032
jwl0053,SELASA,5,VIIB,bio0032
jwl0054,SELASA,6,VIIB,bio0023
jwl0055,SELASA,7,VIIB,bio0023
jwl0056,SELASA,8,VIIB,bio0023
jwl0057,RABU,1,VIIB,bio0048
jwl0058,RABU,2,VIIB,bio0048
jwl0059,RABU,3,VIIB,bio0048
jwl0060,RABU,4,VIIB,bio0005
jwl0061,RABU,5,VIIB,bio0005
jwl0062,RABU,6,VIIB,bio0010
jwl0063,RABU,7,VIIB,bio0010
jwl0064,RABU,8,VIIB,bio0010
jwl0065,KAMIS,1,VIIB,bio0017
jwl0066,KAMIS,2,VIIB,bio0017
jwl0067,KAMIS,3,VIIB,bio0011
jwl0068,KAMIS,4,VIIB,bio0011
jwl0069,KAMIS,5,VIIB,bio0011
jwl0070,KAMIS,6,VIIB,bio0037
jwl0071,KAMIS,7,VIIB,bio0037
jwl0072,KAMIS,8,VIIB,bio0037
jwl0073,JUM'AT,1,VIIB,-
jwl0074,JUM'AT,2,VIIB,bio0010
jwl0075,JUM'AT,3,VIIB,bio0010
jwl0076,JUM'AT,4,VIIB,bio0005
jwl0077,JUM'AT,5,VIIB,bio0005
jwl0078,SABTU,1,VIIB,bio0035
jwl0079,SABTU,2,VIIB,bio0035
jwl0080,SABTU,3,VIIB,bio0008
jwl0081,SABTU,4,VIIB,bio0017
jwl0082,SABTU,5,VIIB,bio0017
jwl0083,SABTU,6,VIIB,bio0006
jwl0084,SABTU,7,VIIB,bio0006
jwl0085,SENIN,3,VIIC,bio0006
jwl0086,SENIN,4,VIIC,bio0006
jwl0087,SENIN,5,VIIC,bio0005
jwl0088,SENIN,6,VIIC,bio0005
jwl0089,SENIN,7,VIIC,bio0010
jwl0090,SENIN,8,VIIC,bio0010
jwl0091,SELASA,1,VIIC,bio0005
jwl0092,SELASA,2,VIIC,bio0005
jwl0093,SELASA,3,VIIC,bio0037
jwl0094,SELASA,4,VIIC,bio0037
jwl0095,SELASA,5,VIIC,bio0037
jwl0096,SELASA,6,VIIC,bio0011
jwl0097,SELASA,7,VIIC,bio0011
jwl0098,SELASA,8,VIIC,bio0011
jwl0099,RABU,1,VIIC,bio0010
jwl0100,RABU,2,VIIC,bio0010
jwl0101,RABU,3,VIIC,bio0010
jwl0102,RABU,4,VIIC,bio0048
jwl0103,RABU,5,VIIC,bio0048
jwl0104,RABU,6,VIIC,bio0048
jwl0105,RABU,7,VIIC,bio0017
jwl0106,RABU,8,VIIC,bio0017
jwl0107,KAMIS,1,VIIC,bio0006
jwl0108,KAMIS,2,VIIC,bio0006
jwl0109,KAMIS,3,VIIC,bio0032
jwl0110,KAMIS,4,VIIC,bio0032
jwl0111,KAMIS,5,VIIC,bio0032
jwl0112,KAMIS,6,VIIC,bio0023
jwl0113,KAMIS,7,VIIC,bio0023
jwl0114,KAMIS,8,VIIC,bio0023
jwl0115,JUM'AT,1,VIIC,-
jwl0116,JUM'AT,2,VIIC,bio0031
